,name,ror_id
0,Royal Academy of Art,00490vc18
1,European Association of Urology,00m9mc973
2,Chemtrix (Netherlands),00ycyk215
3,Low & Bonar (Netherlands),04hr2ce79
4,Pantarhei Bioscience (Netherlands),03hagz796
5,Organisation for the Prohibition of Chemical Weapons,02rqftv84
6,Maastricht School of Management,04zb8fk81
7,Waddenfonds,02h1t6f69
8,Eijkelkamp SonicSampDrill (Netherlands),023q39239
9,Royal Dutch Football Association,02ke6ab14
10,Western Digital (Netherlands),05f4fbs05
11,Tagworks Pharmaceuticals (Netherlands),0364yac91
12,International Confederation of Midwives,039c24767
13,International Pharmaceutical Federation,0282kvf82
14,International Research Universities Network,04484bb06
15,Protestant Theological University,016w23120
16,Tio University,00560h931
17,University of Humanistic Studies,04w5ec154
18,Centre for Medical Systems Biology,00e7dfm13
19,Christelijk Gymnasium Utrecht,02gd5t807
20,Hogeschool de Kempel,056k6yz11
21,Hogeschool iPabo,0230zs006
22,AMN (Netherlands),00gnbgz55
23,Credit Comfort,02rpygq27
24,Amsterdam Museum,05cj5gd51
25,Openbare Scholengemeenschap De Hogeberg,008za0b72
26,Mulier Institute,0325s8d52
27,Ingenieursburo Balvers (Netherlands),02esv1036
28,Museum Catharijneconvent,01xjjmp17
29,Alfa College,030ms0k96
30,Dutch Network of Systems and Control,04jrdcy74
31,Institute for the Study of Education and Human Development,03hxrmn64
32,Netherlands Interdisciplinary Demographic Institute,04kf5kc54
33,Netherlands Bioinformatics Centre,01r0k6965
34,Netherlands Metabolomics Centre,00zh5wn98
35,NatriSoft (Netherlands),02dv36z82
36,SNS Reaal,04tf4mr55
37,Social Historic Centre for Limburg,00ypx8t52
38,Ons Middelbaar Onderwijs,040657n65
39,European Association of Distance Teaching Universities,053qcv951
40,International Bureau of Fiscal Documentation,00bscyw28
41,Intravacc (Netherlands),01mmx3p40
42,Center for Translational Molecular Medicine,047wvvg23
43,Instituut Gak,02tx5t327
44,Radboud Institute for Molecular Life Sciences,01yb10j39
45,Swets (Netherlands),02rpz4k59
46,Encapson (Netherlands),02yd5qy74
47,Driestar Christian University,05jext738
48,Hotelschool The Hague,018t8yw14
49,Rups Consultancy and Project Management,037p78440
50,Siemens (Netherlands),02mt4w922
51,Schoenfabriek Wed. J.P. van Bommel (Netherlands),055a3gx21
52,Stichting Accessibility,01qbtys04
53,Digital Heritage Netherlands,055622428
54,Dutch Polymer Institute,01m71fs94
55,Stichting Ecobaby,0334n7472
56,Knowledge Centre Wind turbine Materials and Constructions,050qdy167
57,Nationaal ICT Instituut in de Zorg,03kvq4w45
58,DNV GL (Netherlands),004r4ve77
59,TenCate (Netherlands),03v96p621
60,Tinbergen Institute,054xxtt73
61,Schlumberger (Netherlands),03daw3m97
62,Flevoziekenhuis,02tqqrq23
63,Onze Lieve Vrouwe Gasthuis,01d02sf11
64,Svar Life Science (Netherlands),01jqhew41
65,Borstkankervereniging Nederland,01fmdar07
66,ISA Pharmaceuticals (Netherlands),00cswhr36
67,VitaValley Foundation,00m3dfd98
68,Evidentia Publishing (Netherlands),034jtsg79
69,Wolters Kluwer (Netherlands),03qemwx69
70,AT&T (Netherlands),02efxmp95
71,Avantium (Netherlands),052kwn289
72,Moog (Netherlands),01rtxd659
73,AnyWi Technologies (Netherlands),03d2qa639
74,BioActor (Netherlands),052z4yp15
75,Dutch Institute for Healthcare Improvement,05se6w266
76,Colorex Master Batch (Netherlands),01tjxaw07
77,Dsan Research Solutions,046nv5659
78,Dow Chemical (Netherlands),049px0x49
79,BASF (Netherlands),00sgajx84
80,Solvay (Netherlands),05hxvc906
81,Airbus (Netherlands),02z4rsp10
82,Esaote (Netherlands),02fwpc710
83,Foreco (Netherlands),04vfnb935
