,name,types,country,aliases,addresses,email_address,ror_id
0,Royal Academy of Art,['Education'],"{'country_name': 'Netherlands', 'country_code': 'NL'}",[],"[{'lat': 52.081854, 'lng': 4.319379, 'state': None, 'state_code': None, 'city': 'The Hague', 'geonames_city': {'id': 2747373, 'city': 'The Hague', 'geonames_admin1': {'name': 'South Holland', 'id': 2743698, 'ascii_name': 'South Holland', 'code': 'NL.11'}, 'geonames_admin2': {'name': 'Gemeente Den Haag', 'id': 2747372, 'ascii_name': 'Gemeente Den Haag', 'code': 'NL.11.0518'}, 'license': {'attribution': 'Data from geonames.org under a CC-BY 3.0 license', 'license': 'http://creativecommons.org/licenses/by/3.0/'}, 'nuts_level1': {'name': 'WEST-NEDERLAND', 'code': 'NL3'}, 'nuts_level2': {'name': 'Zuid-Holland', 'code': 'NL33'}, 'nuts_level3': {'name': ""Agglomeratie 's-Gravenhage"", 'code': 'NL332'}}, 'postcode': None, 'primary': False, 'line': None, 'country_geonames_id': 2750405}]",,00490vc18
1,European Association of Urology,['Nonprofit'],"{'country_name': 'Netherlands', 'country_code': 'NL'}",[],"[{'lat': 51.953552, 'lng': 5.873326, 'state': None, 'state_code': None, 'city': 'Arnhem', 'geonames_city': {'id': 2759661, 'city': 'Arnhem', 'geonames_admin1': {'name': 'Gelderland', 'id': 2755634, 'ascii_name': 'Gelderland', 'code': 'NL.03'}, 'geonames_admin2': {'name': 'Gemeente Arnhem', 'id': 2759660, 'ascii_name': 'Gemeente Arnhem', 'code': 'NL.03.0202'}, 'license': {'attribution': 'Data from geonames.org under a CC-BY 3.0 license', 'license': 'http://creativecommons.org/licenses/by/3.0/'}, 'nuts_level1': {'name': 'OOST-NEDERLAND', 'code': 'NL2'}, 'nuts_level2': {'name': 'Gelderland', 'code': 'NL22'}, 'nuts_level3': {'name': 'Arnhem/Nijmegen', 'code': 'NL226'}}, 'postcode': None, 'primary': False, 'line': None, 'country_geonames_id': 2750405}]",,00m9mc973
2,Chemtrix (Netherlands),['Company'],"{'country_name': 'Netherlands', 'country_code': 'NL'}",[],"[{'lat': 50.985277, 'lng': 5.788336, 'state': None, 'state_code': None, 'city': 'Sittard', 'geonames_city': {'id': 2747203, 'city': 'Sittard', 'geonames_admin1': {'name': 'Limburg', 'id': 2751596, 'ascii_name': 'Limburg', 'code': 'NL.05'}, 'geonames_admin2': {'name': 'Gemeente Sittard-Geleen', 'id': 6544255, 'ascii_name': 'Gemeente Sittard-Geleen', 'code': 'NL.05.1883'}, 'license': {'attribution': 'Data from geonames.org under a CC-BY 3.0 license', 'license': 'http://creativecommons.org/licenses/by/3.0/'}, 'nuts_level1': {'name': 'ZUID-NEDERLAND', 'code': 'NL4'}, 'nuts_level2': {'name': 'Limburg (NL)', 'code': 'NL42'}, 'nuts_level3': {'name': 'Zuid-Limburg', 'code': 'NL423'}}, 'postcode': None, 'primary': False, 'line': None, 'country_geonames_id': 2750405}]",,00ycyk215
3,Low & Bonar (Netherlands),['Company'],"{'country_name': 'Netherlands', 'country_code': 'NL'}",[],"[{'lat': 51.968732, 'lng': 5.939988, 'state': None, 'state_code': None, 'city': 'Arnhem', 'geonames_city': {'id': 2759661, 'city': 'Arnhem', 'geonames_admin1': {'name': 'Gelderland', 'id': 2755634, 'ascii_name': 'Gelderland', 'code': 'NL.03'}, 'geonames_admin2': {'name': 'Gemeente Arnhem', 'id': 2759660, 'ascii_name': 'Gemeente Arnhem', 'code': 'NL.03.0202'}, 'license': {'attribution': 'Data from geonames.org under a CC-BY 3.0 license', 'license': 'http://creativecommons.org/licenses/by/3.0/'}, 'nuts_level1': {'name': 'OOST-NEDERLAND', 'code': 'NL2'}, 'nuts_level2': {'name': 'Gelderland', 'code': 'NL22'}, 'nuts_level3': {'name': 'Arnhem/Nijmegen', 'code': 'NL226'}}, 'postcode': None, 'primary': False, 'line': None, 'country_geonames_id': 2750405}]",,04hr2ce79
4,Pantarhei Bioscience (Netherlands),['Company'],"{'country_name': 'Netherlands', 'country_code': 'NL'}",[],"[{'lat': 52.08851, 'lng': 5.253403, 'state': None, 'state_code': None, 'city': 'Zeist', 'geonames_city': {'id': 2743977, 'city': 'Zeist', 'geonames_admin1': {'name': 'Utrecht', 'id': 2745909, 'ascii_name': 'Utrecht', 'code': 'NL.09'}, 'geonames_admin2': {'name': 'Gemeente Zeist', 'id': 2743976, 'ascii_name': 'Gemeente Zeist', 'code': 'NL.09.0355'}, 'license': {'attribution': 'Data from geonames.org under a CC-BY 3.0 license', 'license': 'http://creativecommons.org/licenses/by/3.0/'}, 'nuts_level1': {'name': 'WEST-NEDERLAND', 'code': 'NL3'}, 'nuts_level2': {'name': 'Utrecht', 'code': 'NL31'}, 'nuts_level3': {'name': 'Utrecht', 'code': 'NL310'}}, 'postcode': None, 'primary': False, 'line': None, 'country_geonames_id': 2750405}]",,03hagz796
5,Organisation for the Prohibition of Chemical Weapons,['Government'],"{'country_name': 'Netherlands', 'country_code': 'NL'}",[],"[{'lat': 52.091241, 'lng': 4.283193, 'state': None, 'state_code': None, 'city': 'The Hague', 'geonames_city': {'id': 2747373, 'city': 'The Hague', 'geonames_admin1': {'name': 'South Holland', 'id': 2743698, 'ascii_name': 'South Holland', 'code': 'NL.11'}, 'geonames_admin2': {'name': 'Gemeente Den Haag', 'id': 2747372, 'ascii_name': 'Gemeente Den Haag', 'code': 'NL.11.0518'}, 'license': {'attribution': 'Data from geonames.org under a CC-BY 3.0 license', 'license': 'http://creativecommons.org/licenses/by/3.0/'}, 'nuts_level1': {'name': 'WEST-NEDERLAND', 'code': 'NL3'}, 'nuts_level2': {'name': 'Zuid-Holland', 'code': 'NL33'}, 'nuts_level3': {'name': ""Agglomeratie 's-Gravenhage"", 'code': 'NL332'}}, 'postcode': None, 'primary': False, 'line': None, 'country_geonames_id': 2750405}]",,02rqftv84
6,Maastricht School of Management,['Education'],"{'country_name': 'Netherlands', 'country_code': 'NL'}",[],"[{'lat': 50.837527, 'lng': 5.715952, 'state': None, 'state_code': None, 'city': 'Maastricht', 'geonames_city': {'id': 2751283, 'city': 'Maastricht', 'geonames_admin1': {'name': 'Limburg', 'id': 2751596, 'ascii_name': 'Limburg', 'code': 'NL.05'}, 'geonames_admin2': {'name': 'Gemeente Maastricht', 'id': 2751282, 'ascii_name': 'Gemeente Maastricht', 'code': 'NL.05.0935'}, 'license': {'attribution': 'Data from geonames.org under a CC-BY 3.0 license', 'license': 'http://creativecommons.org/licenses/by/3.0/'}, 'nuts_level1': {'name': 'ZUID-NEDERLAND', 'code': 'NL4'}, 'nuts_level2': {'name': 'Limburg (NL)', 'code': 'NL42'}, 'nuts_level3': {'name': 'Zuid-Limburg', 'code': 'NL423'}}, 'postcode': None, 'primary': False, 'line': None, 'country_geonames_id': 2750405}]",,04zb8fk81
7,Waddenfonds,['Other'],"{'country_name': 'Netherlands', 'country_code': 'NL'}",[],"[{'lat': 53.200164, 'lng': 5.793274, 'state': None, 'state_code': None, 'city': 'Leeuwarden', 'geonames_city': {'id': 2751792, 'city': 'Leeuwarden', 'geonames_admin1': {'name': 'Friesland', 'id': 2755812, 'ascii_name': 'Friesland', 'code': 'NL.02'}, 'geonames_admin2': {'name': 'Gemeente Leeuwarden', 'id': 2751791, 'ascii_name': 'Gemeente Leeuwarden', 'code': 'NL.02.0080'}, 'license': {'attribution': 'Data from geonames.org under a CC-BY 3.0 license', 'license': 'http://creativecommons.org/licenses/by/3.0/'}, 'nuts_level1': {'name': 'NOORD-NEDERLAND', 'code': 'NL1'}, 'nuts_level2': {'name': 'Friesland (NL)', 'code': 'NL12'}, 'nuts_level3': {'name': 'Noord-Friesland', 'code': 'NL121'}}, 'postcode': None, 'primary': False, 'line': None, 'country_geonames_id': 2750405}]",,02h1t6f69
8,Eijkelkamp SonicSampDrill (Netherlands),['Company'],"{'country_name': 'Netherlands', 'country_code': 'NL'}",[],"[{'lat': 51.987854, 'lng': 6.055059, 'state': None, 'state_code': None, 'city': 'Zevenaar', 'geonames_city': {'id': 2743949, 'city': 'Zevenaar', 'geonames_admin1': {'name': 'Gelderland', 'id': 2755634, 'ascii_name': 'Gelderland', 'code': 'NL.03'}, 'geonames_admin2': {'name': 'Gemeente Zevenaar', 'id': 2743948, 'ascii_name': 'Gemeente Zevenaar', 'code': 'NL.03.0299'}, 'license': {'attribution': 'Data from geonames.org under a CC-BY 3.0 license', 'license': 'http://creativecommons.org/licenses/by/3.0/'}, 'nuts_level1': {'name': 'OOST-NEDERLAND', 'code': 'NL2'}, 'nuts_level2': {'name': 'Gelderland', 'code': 'NL22'}, 'nuts_level3': {'name': 'Arnhem/Nijmegen', 'code': 'NL226'}}, 'postcode': None, 'primary': False, 'line': None, 'country_geonames_id': 2750405}]",,023q39239
9,Royal Dutch Football Association,['Other'],"{'country_name': 'Netherlands', 'country_code': 'NL'}",[],"[{'lat': 52.087825, 'lng': 5.290674, 'state': None, 'state_code': None, 'city': 'Zeist', 'geonames_city': {'id': 2743977, 'city': 'Zeist', 'geonames_admin1': {'name': 'Utrecht', 'id': 2745909, 'ascii_name': 'Utrecht', 'code': 'NL.09'}, 'geonames_admin2': {'name': 'Gemeente Zeist', 'id': 2743976, 'ascii_name': 'Gemeente Zeist', 'code': 'NL.09.0355'}, 'license': {'attribution': 'Data from geonames.org under a CC-BY 3.0 license', 'license': 'http://creativecommons.org/licenses/by/3.0/'}, 'nuts_level1': {'name': 'WEST-NEDERLAND', 'code': 'NL3'}, 'nuts_level2': {'name': 'Utrecht', 'code': 'NL31'}, 'nuts_level3': {'name': 'Utrecht', 'code': 'NL310'}}, 'postcode': None, 'primary': False, 'line': None, 'country_geonames_id': 2750405}]",,02ke6ab14
